source_row_number,vendor,course_name,exam_code,exam_name,retake,base_cost,comments
3,VMware,VMware Cloud Professional,2V0-33.22,Exam 2V0-33.22 - VMware Cloud Professional,No incluido,250,
4,VMware,NSX Professional V2,2V0-41.24,VMware NSX 4.x Professional V2 (2V0 - 41.24),No incluido,250,
5,VMware,Tanzu Kubernetes,2V0-71.23,VMware Tanzu for Kubernetes Operations Professional (2V0-71.23),No incluido,250,
6,VMware,VCF,N/A,VMware VCF Training and exam,No incluido,250,
7,VMware,vSphere 8.x,2V0-21.23,VMware vSphere 8.x Professional (2V0-21.23),No incluido,250,
8,Palo Alto,Cybersecurity Apprentice,PCA,PCA – Cybersecurity Apprentice,No incluido,150,
9,Palo Alto,Cybersecurity Practitioner,PCP,PCP – Cybersecurity Practitioner,No incluido,150,
10,Palo Alto,Cloud Security Professional,PCSP,PCSP – Cloud Security Professional,No incluido,200,
11,Palo Alto,Network Security Professional,PCNSP,PCNSP – Network Security Professional,No incluido,200,
12,Palo Alto,Security Operations Professional,PCSOP,PCSOP – Security Operations Professional,No incluido,200,
13,Palo Alto,Network Security Analyst,PCNSA,PCNSA – Network Security Analyst,No incluido,250,
14,Palo Alto,Security Service Edge Engineer,PCSSE,PCSSE – Security Service Edge Engineer,No incluido,250,
15,Palo Alto,XSIAM Analyst,PCSAE,PCSAE – XSIAM Analyst,No incluido,250,
16,Palo Alto,XSIAM Engineer,PCSE,PCSE – XSIAM Engineer,No incluido,250,
17,Palo Alto,XSOAR Engineer,PCSOAR,PCSOAR – XSOAR Engineer,No incluido,250,
18,Palo Alto,Next-Gen Firewall Engineer,PCNSE,PCNSE – Next-Generation Firewall Engineer,No incluido,250,
19,Palo Alto,XDR Analyst,PCXDR-A,PCXDR-A – XDR Analyst,No incluido,250,
20,Palo Alto,XDR Engineer,PCXDR-E,PCXDR-E – XDR Engineer,No incluido,250,
21,Palo Alto,SD-WAN Engineer,PCSDW,PCSDW – SD-WAN Engineer,No incluido,250,
22,Palo Alto,Network Security Architect,PCNSA-ARCH,PCNSA-ARCH – Network Security Architect,No incluido,300,
23,Palo Alto,Security Operations Architect,PCSOA,PCSOA – Security Operations Architect,No incluido,300,
24,Microsoft,Azure Fundamentals,AZ-900,AZ-900 Microsoft Azure Fundamentals,No incluido,69,
25,HPE Aruba,Certified Associate – Switching,HPE6-A86,HPE Aruba Networking Certified Associate – Switching ( HPE6‑A86),No incluido,145,
26,HPE Aruba,Associate - Network Security,HPE6-A78,HPE Aruba Networking Certified Associate - Network Security (HPE6‑A78),No incluido,145,
27,HPE Aruba,Architect - Data Center,HPE7-A04,HPE Aruba Networking Certified Network Architect - Data Center (HPE7‑A04),No incluido,195,
28,HPE Aruba,Architect - Campus Access,HPE7-A03,HPE7-A03-HPE Aruba Networking Certified Network Architect - Campus Access,No incluido,195,
29,HPE Aruba,Architect - Data Center,HPE7-A04,HPE7-A04-HPE Aruba Networking Certified Network Architect - Data Center,No incluido,195,
30,HPE Aruba,Professional - Data Center,HPE7-A05,HPE7-A05-HPE Aruba Networking Certified Professional - Data Center,No incluido,195,
31,HPE,Advanced Product Certified CX 10000,HPE6-A87,HPE Advanced Product Certified - CX 10000 (HPE6‑A87),No incluido,145,
32,HPE,Storage Solutions,HPE0-J68,HPE0-J68 HPE Storage Solutions,No incluido,145,
33,HPE,Solutions with VMware,HPE2-B04,HPE2-B04: HPE Solutions with Vmware,No incluido,75,
34,HPE,Advanced Product Certified CX 10000,HPE6-A87,HPE6-A87-HPE Advanced Product Certified - CX 10000,No incluido,145,
35,HPE,Advanced Storage Solutions,HPE7-M02,HPE7-M02 Advanced HPE Storage Solutions Written Exam,No incluido,195,
36,Google Cloud,ML Engineer,N/A,Google Cloud Professional Machine Learning Engineer,No incluido,200,
37,Fortinet,Firewall Fortinet,NSE4 / NSE5,Firewall Fortinet,No incluido,200,
38,Fortinet,Secure Wireless LAN Administrator,NSE6_FWF,NSE 6 – Secure Wireless LAN (FWF),No incluido,200,
39,Fortinet,FortiOS,NSE 4,NSE 4 – FortiOS / FortiGate Administrator,No incluido,200,
40,Fortinet,FortiSASE and SD-WAN Core,FCP,FCP – FortiSASE and SD-WAN Core Administrator,No incluido,200,
41,Fortinet,FortiWeb,NSE 6,NSE 6 – FortiWeb Application Security Specialist,No incluido,200,
42,Fortinet,FortiAnalyzer Analyst,NSE 5,NSE 5 – FortiAnalyzer Analyst,No incluido,200,
43,Fortinet,FortiEDR,NSE 5,NSE 5 – FortiEDR Specialist,No incluido,200,
44,Fortinet,FortiMail,NSE 6,NSE 6 – FortiMail Messaging Security Specialist,No incluido,200,
45,Fortinet,FortiSOAR,NSE 6,NSE 6 – FortiSOAR Automation Specialist,No incluido,200,
46,Fortinet,LAN-Edge,FCP,FCP – LAN Edge Security Administrator,No incluido,200,
47,Fortinet,Enterprise Firewall,NSE 7,NSE 7 – Enterprise Firewall Administrator,No incluido,200,
48,Fortinet,FortiSASE Enterprise,FCP,FCP – FortiSASE Enterprise Administrator,No incluido,200,
49,Fortinet,Public Cloud Security Architect,FCSS,FCSS – Public Cloud Security Architect,No incluido,200,
50,Fortinet,Security Operations Architect,FCSS,FCSS – Security Operations Architect,No incluido,200,
51,EXIN / BCS,AI Essentials,N/A,EXIN BCS Artificial Intelligence Essentials,,192,
52,CompTIA,Linux+,XK0-005,CompTIA Linux+ (XK0-005),,273,
53,CompTIA,Security,N/A,CompTIA Security,,298,
54,CertiProf,ISO 27001,N/A,ISO27001,,99,PECB examen incluido en el material no se entrega por separado
55,AWS,Practitioner,AIF-C01,AWS Certified AI Practitioner Certification (AIF-C01),,103,
56,AWS,Machine Learning Engineer - Associate,MLA-C01,AWS Certified Machine Learning Engineer - Associate (MLA-C01),,155,
57,AWS,Cloud Practitioner,CLF-C02,AWS Certified Cloud Practitioner,No incluido,103,
58,AWS,Solutions Architect Associate,SAA-C03,AWS Certified Solutions Architect – Associate,No incluido,155,
59,AWS,Developer Associate,DVA-C02,AWS Certified Developer – Associate,No incluido,155,
60,AWS,SysOps Administrator,SOA-C03,AWS Certified SysOps Administrator – Associate,No incluido,155,
61,AWS,Security Specialty,SCS-C03,AWS Certified Security – Specialty,No incluido,207,
62,AWS,Advanced Networking,ANS-C01,AWS Certified Advanced Networking – Specialty,No incluido,207,
63,Microsoft,Azure Administrator,AZ-104,Microsoft Azure Administrator,No incluido,165,
64,Microsoft,Azure Solutions Architect,AZ-305,Designing Microsoft Azure Infrastructure Solutions,No incluido,165,
65,Microsoft,Azure Network Engineer,AZ-700,Designing and Implementing Microsoft Azure Networking Solutions,No incluido,165,
66,Microsoft,Azure AI Fundamentals,AI-900,Microsoft Azure AI Fundamentals,No incluido,69,
67,Cisco,CCNA,200-301,Cisco Certified Network Associate,No incluido,300,
68,Cisco,ENCOR,350-401,Implementing Cisco Enterprise Network Core Technologies,No incluido,400,
69,Cisco,SD-WAN,300-415 ENSDWI,Implementing Cisco SD-WAN Solutions,No incluido,300,
70,Cisco,ENNAUTO,300-435,Automating and Programming Cisco Enterprise Solutions,No incluido,300,
71,VMware,VCP-VCF,2V0-11.24,VMware Cloud Foundation Administrator,No incluido,250,
72,Linux Foundation,Kubernetes,CKA,Certified Kubernetes Administrator,No incluido,445,
73,Linux Foundation,Kubernetes Security,CKS,Certified Kubernetes Security Specialist,No incluido,445,
74,Linux Foundation,Kubernetes Developer,CKAD,Certified Kubernetes Application Developer,No incluido,455,
75,PeopleCert,ITIL Foundation,ITIL 5 Foundation,ITIL V 5  Foundation,No incluido,295,
76,ISC2,CISSP,N/A,Certified Information Systems Security Professional,No incluido,749,
77,CompTIA,CySA+,CS0-003,CompTIA CySA+,No incluido,392,
78,CompTIA,PenTest+,PT0-002,CompTIA PenTest+,No incluido,392,
79,Google Cloud,Cloud Architect,N/A,Professional Cloud Architect,No incluido,200,
80,Databricks,Data Engineer Associate,N/A,Databricks Certified Data Engineer Associate,No incluido,200,
81,Oracle,Oracle Database Administration,1Z0-082,Oracle Database Administration I,No incluido,245,
82,Oracle,Oracle Database Administration,1Z0-083,Oracle Database Administration II,No incluido,245,
83,AWS,Cloud Practitioner,CLF-C02,AWS Certified Cloud Practitioner,No incluido,103,
84,AWS,Solutions Architect Associate,SAA-C03,AWS Certified Solutions Architect – Associate,No incluido,155,
85,AWS,Developer Associate,DVA-C02,AWS Certified Developer – Associate,No incluido,155,
86,AWS,SysOps Administrator,SOA-C03,AWS Certified SysOps Administrator – Associate,No incluido,155,
87,AWS,Security Specialty,SCS-C03,AWS Certified Security – Specialty,No incluido,309,
88,AWS,Advanced Networking,ANS-C01,AWS Certified Advanced Networking – Specialty,No incluido,309,
89,Microsoft,Azure Fundamentals,AZ-900,AZ-900 Microsoft Azure Fundamentals,No incluido,59,
90,Microsoft,Azure Administrator,AZ-104,Microsoft Azure Administrator,No incluido,99,
91,Microsoft,Azure Solutions Architect,AZ-305,Designing Microsoft Azure Infrastructure Solutions,No incluido,99,
92,Microsoft,Azure Network Engineer,AZ-700,Designing and Implementing Microsoft Azure Networking Solutions,No incluido,99,
93,Microsoft,Azure AI Fundamentals,AI-900,Microsoft Azure AI Fundamentals,No incluido,59,
94,Cisco,CCNA,200-301,Implementing and Administering Cisco Solutions,No incluido,300,
95,Cisco,ENCOR,350-401,Implementing and Operating Cisco Enterprise Network Core Technologies,No incluido,400,
96,Cisco,SCOR,350-701,Implementing and Operating Cisco Security Core Technologies,No incluido,400,
97,Cisco,ENSDWI,300-415,Implementing Cisco SD-WAN Solutions,No incluido,300,
98,Cisco,ENAUTO,300-435,Automating and Programming Cisco Enterprise Solutions,No incluido,300,
99,Cisco,SPVI,300-515,Implementing Cisco Service Provider VPN Services,No incluido,300,
100,Cisco,CLCOR,350-801,Implementing and Operating Cisco Collaboration Core Technologies,No incluido,400,
101,Cisco,ECMS Meraki,500-220,Engineering Cisco Meraki Solutions,No incluido,300,
102,Cisco,Customer Success Manager,820-605,Cisco Customer Success Manager,No incluido,250,
103,Cisco,Renewals Manager,700-805,Cisco Renewals Manager,No incluido,80,
104,CompTIA,Security+,SY0-701,CompTIA Security+,No incluido,276,
105,CompTIA,CySA+,CS0-003,CompTIA Cybersecurity Analyst (CySA+),No incluido,258,
